mortgage_loan_id,contract_no,customer_id,product_code,branch_code_raw,loan_principal,interest_rate_annual,disbursement_date_raw,maturity_date_raw,outstanding_principal,outstanding_interest,total_outstanding
1,ML-2020-000001,1502,HOME,BR-CT01,3484935163,9.0,2021-03-24,24 Thg 3 2033,780060134,13160368,793220502
2,ML-2024-000002,1079,BUSINESS,BR-CT01,2710529190,10.5,19-08-2021,19/08/2031,1458512767,32336097,1490848864
3,ML-2021-000003,1106,BUSINESS,BR-HCM02,698340369,8.0,20-06-2022,20 Thg 6 2033,209404992,7855504,217260496
4,ML-2020-000004,2078,HOME,HP-01,4001002945,9.0,22/01/2020,2039-01-22,3573643550,81066474,3654710024
5,ML-2023-000005,3903,HOME,DN-01,998594025,10.0,2021-11-09,09/11/2036,569007033,11834158,580841191
6,ML-2024-000006,97,HOME,Can Tho CN1,3240395823,7.5,26-01-2021,26-01-2043,1195013504,42766296,1237779800
7,ML-2022-000007,1557,BUSINESS,Da Nang CN1,3115087637,10.5,09/03/2023,09-03-2040,2079846800,100266421,2180113221
8,ML-2023-000008,2262,BUSINESS,CT-01,4584391408,11.0,2020-01-28,28/01/2034,2465155501,34007360,2499162861
9,ML-2023-000009,577,CAR,HAI_PHONG_1,2572528809,7.5,18-11-2020,2040-11-18,1409262667,29751946,1439014613
10,ML-2022-000010,531,CAR,Can Tho CN1,2985643886,9.0,25/06/2021,25-06-2031,643649270,27321334,670970604
11,ML-2022-000011,2259,BUSINESS,Can Tho CN1,548786714,8.0,2020-12-16,16/12/2034,318420266,8149557,326569823
12,ML-2022-000012,4859,HOME,HCM_Q3,3262958940,9.5,21-11-2023,21 Thg 11 2047,1299716458,15509495,1315225953
13,ML-2020-000013,1025,CAR,HCM_Q1,330884438,7.5,02-02-2021,02/02/2033,243260356,3387912,246648268
14,ML-2021-000014,1214,CAR,DA_NANG_1,2048309234,8.0,14-11-2020,14 Thg 11 2043,1825185677,17765404,1842951081
15,ML-2020-000015,749,HOME,BR-HN01,4000855390,9.0,18.04.2021,18 Thg 4 2035,1691706152,30438923,1722145075
16,ML-2020-000016,376,HOME,HN-01,720514789,7.5,06.04.2020,06 Thg 4 2045,642497674,22213255,664710929
17,ML-2021-000017,39,CAR,BR-HCM02,4531869256,9.5,14.05.2023,14/05/2037,1695647458,19876998,1715524456
18,ML-2024-000018,2870,HOME,BR-CT01,3512530587,7.5,16/10/2020,2031-10-16,895052738,8537752,903590490
19,ML-2021-000019,356,BUSINESS,HAI_PHONG_1,2853440342,8.0,19-11-2023,19/11/2041,2205576529,34490696,2240067225
20,ML-2023-000020,2281,BUSINESS,HA_NOI_CN1,1588477634,10.0,2020-01-15,15/01/2032,654707468,30987550,685695018
21,ML-2020-000021,224,BUSINESS,Can Tho CN1,1887106770,8.5,23-09-2023,23-09-2033,533804385,20474770,554279155
22,ML-2022-000022,1123,BUSINESS,BR-CT01,4121286999,8.5,20/05/2022,20/05/2042,2915358723,50947213,2966305936
23,ML-2023-000023,4919,BUSINESS,CT-01,3933987776,8.0,2023-05-02,02/05/2043,3870408093,50975686,3921383779
24,ML-2023-000024,4390,CAR,DA_NANG_1,2709076656,8.0,2020-12-05,05/12/2041,818023076,14613382,832636458
25,ML-2020-000025,1467,HOME,DN-01,741495235,10.5,28/04/2021,28 Thg 4 2036,254695108,12563719,267258827
26,ML-2023-000026,2782,CAR,HA_NOI_CN1,1445921803,8.0,28.01.2023,28/01/2040,693647352,23762391,717409743
27,ML-2021-000027,3197,BUSINESS,Hai Phong CN1,4696605275,9.0,2023-06-09,09-06-2041,2853302961,95479084,2948782045
28,ML-2024-000028,245,BUSINESS,Ha Noi CN1,4333992825,8.0,19-03-2022,2033-03-19,2373515534,74322940,2447838474
29,ML-2022-000029,1378,CAR,HAI_PHONG_1,2496545325,10.5,02.05.2021,02/05/2031,1360711870,68515555,1429227425
30,ML-2022-000030,3571,CAR,HP-01,4165671731,9.5,13-06-2023,13/06/2037,3049036543,72894903,3121931446
31,ML-2021-000031,3932,CAR,Ha Noi CN1,3880822352,9.5,14-04-2022,14 Thg 4 2046,2873755884,83122273,2956878157
32,ML-2021-000032,2826,HOME,BR-DN01,2959704908,8.0,10/11/2021,10/11/2037,701364156,27694031,729058187
33,ML-2024-000033,1405,HOME,BR-CT01,2255997540,9.0,13/08/2023,2037-08-13,1856091126,31327627,1887418753
34,ML-2024-000034,354,BUSINESS,CAN_THO_1,4810653604,9.0,05.08.2020,05 Thg 8 2040,4098701914,168508827,4267210741
35,ML-2023-000035,1911,CAR,HCM_Q3,2338711176,9.5,09.11.2021,09-11-2038,612711183,12473371,625184554
36,ML-2022-000036,995,CAR,CT-01,2619936135,8.5,13/04/2021,2037-04-13,1378294680,37143358,1415438038
37,ML-2023-000037,2482,CAR,BR-DN01,2104502687,7.5,01-08-2023,01 Thg 8 2042,1327049841,39199754,1366249595
38,ML-2024-000038,4964,BUSINESS,Can Tho CN1,2396929657,9.5,01.08.2023,01 Thg 8 2043,795866420,21695975,817562395
39,ML-2021-000039,3320,HOME,BR-DN01,4195229819,7.5,14/11/2020,14/11/2044,1712178384,29655922,1741834306
40,ML-2023-000040,4800,BUSINESS,CT-01,4078024983,9.5,2023-05-27,2048-05-27,2575416479,122323262,2697739741
41,ML-2022-000041,4375,HOME,Hai Phong CN1,3092347639,7.5,2020-04-07,07/04/2034,1790001870,19567733,1809569603
42,ML-2021-000042,1529,BUSINESS,Ho Chi Minh Q3,3593802269,8.5,2020-03-10,10-03-2030,2666162226,109520282,2775682508
43,ML-2023-000043,464,BUSINESS,BR-HCM01,1343030161,9.5,2020-10-26,26 Thg 10 2041,666756323,19153582,685909905
44,ML-2022-000044,1085,HOME,BR-HN01,3948899533,11.0,12.07.2020,12 Thg 7 2034,3107927053,166214562,3274141615
45,ML-2022-000045,4888,HOME,CAN_THO_1,2296617659,9.5,2022-04-27,27 Thg 4 2040,1838169197,57266849,1895436046
46,ML-2023-000046,4735,CAR,DN-01,423265537,10.0,07-08-2021,07-08-2039,382740394,14562257,397302651
47,ML-2022-000047,1069,CAR,BR-HN01,1120581106,9.0,18/08/2023,18 Thg 8 2048,934952693,11546591,946499284
48,ML-2021-000048,1214,CAR,DA_NANG_1,3271203213,9.5,18-08-2022,18-08-2045,2493585718,49360090,2542945808
49,ML-2022-000049,1330,HOME,Can Tho CN1,1127143233,8.0,07.04.2021,07-04-2039,976221786,17064246,993286032
50,ML-2022-000050,1896,HOME,Da Nang CN1,1598229437,8.5,02-01-2022,02 Thg 1 2036,1435490983,40219849,1475710832
51,ML-2023-000051,3098,CAR,HAI_PHONG_1,2191799103,8.5,28.05.2020,2033-05-28,1300607556,36571418,1337178974
52,ML-2020-000052,1975,CAR,HCM_Q1,4376463610,8.0,18.02.2021,18 Thg 2 2038,4056121800,71044191,4127165991
53,ML-2024-000053,4731,HOME,Ho Chi Minh Q3,4853654480,8.0,07-11-2021,07/11/2033,1645635622,17118026,1662753648
54,ML-2020-000054,3415,BUSINESS,CN-HCM-02,2318258729,7.5,23-05-2021,2045-05-23,896561166,13839890,910401056
55,ML-2024-000055,348,HOME,Da Nang CN1,2125957977,9.0,27/05/2021,2033-05-27,1773267613,53945612,1827213225
56,ML-2024-000056,837,HOME,DN-01,2186149718,11.0,13-12-2022,13 Thg 12 2047,1483148087,74357046,1557505133
57,ML-2022-000057,2240,CAR,BR-HCM02,692245997,7.5,02/10/2022,02 Thg 10 2047,238957307,5988243,244945550
